question,answer
What are Residents responsibilities in ensuring that his/her enrolment does not get rejected?,"Resident must review his/her details in English as well as in local language by looking at the resident screen available in front of him/her. Ensure that Name, Gender, DoB, Address etc. are correct. Also to ensure that no titles/ salutations like Mr./ Mrs./ Col./ Dr. etc. are prefixed or suffixed to the name. It is recommended to provide full name instead of initials for e.g. B.K Sharma should be written as Brij Kumar Sharma. Review that photograph captured by the operator is correct and recognizable."
Whether the Ration card NEREGA Card etc can be accepted as Valid Proof of Identity/Address for the family members listed in the document in case they do not have separate PoI or PoA document?,Yes. The family entitlement documents is accepted as proof of Identity/Address for family enrolments as long as the head of the family whose photograph appears on the documents presents and verifies the identity and address of the family members and the Registrar authorized verifier countersigns the copy of the document as proof of acknowledgement.
Whether UIDAI has defined process to be followed for Family enrolments?,"Yes. Head of the Family should invariably bring the original POI/POA for verification and only those family members can be Enroled based on the family entitlement document, whose names & other details are recorded on it. For family enrolments it is desirable that the family should come together for enrolment as far as possible. In case all the members cannot make it on the same day then the head of family should invariably accompany the family member whenever he/she comes for the enrolment."
What is the option if the address indicated on the PoA document appears to be inadequate for postal delivery? Can additional information from the residents be accepted?,"Yes. The resident may be allowed to add minor fields such as House No., Lane No., Street Name, correcting typographic errors, minor changes/ corrections to pin code etc. to the address listed in the PoA document as long as these additions/modifications do not alter the base address mentioned in the PoA document. If the changes requested are substantial and change the base address that is listed in the PoA, the resident will require to provide an alternate PoA or enrol through an Introducer."
Where can I enrol for Aadhaar?,"You have to visit an Aadhaar Enrolment centre set up by Enrolment Agency to enrol for Aadhaar. You can also search nearest Enrolment centre by clicking on Locate Enrolment Center or https://appointments.uidai.gov.in/easearch.aspx . You have to enter State, District and locality for finding the nearest enrolment centre."
Where terminate 1 enter for Aadhaar?,"You have to visit an Aadhaar Enrolment centre set up by Enrolment Agency to enrol for Aadhaar. You can also search nearest Enrolment centre by clicking on Locate Enrolment Center or https://appointments.uidai.gov.in/easearch.aspx . You have to enter State, District and locality for finding the nearest enrolment centre."
Where buttocks One enrol for Aadhaar?,"You have to visit an Aadhaar Enrolment centre set up by Enrolment Agency to enrol for Aadhaar. You can also search nearest Enrolment centre by clicking on Locate Enrolment Center or https://appointments.uidai.gov.in/easearch.aspx . You have to enter State, District and locality for finding the nearest enrolment centre."
Where send away Ace enrol for Aadhaar?,"You have to visit an Aadhaar Enrolment centre set up by Enrolment Agency to enrol for Aadhaar. You can also search nearest Enrolment centre by clicking on Locate Enrolment Center or https://appointments.uidai.gov.in/easearch.aspx . You have to enter State, District and locality for finding the nearest enrolment centre."
What be the documents required for enrolment for Aadhaar?,"You need to fill up an application form available at Enrolment centre along with supporting documents which are Proof of Identity (PoI), Proof of Address (PoA), Proof of Relationship (PoR) and Date of Birth(DoB) document. UIDAI accepts 31 PoI and 44 PoA , 14 PoR and 14 DoB documents. View the nationally valid list of supporting documents."
What are the documents require for enrolment for Aadhaar?,"You need to fill up an application form available at Enrolment centre along with supporting documents which are Proof of Identity (PoI), Proof of Address (PoA), Proof of Relationship (PoR) and Date of Birth(DoB) document. UIDAI accepts 31 PoI and 44 PoA , 14 PoR and 14 DoB documents. View the nationally valid list of supporting documents."
What cost the documents want for registration for Aadhaar?,"You need to fill up an application form available at Enrolment centre along with supporting documents which are Proof of Identity (PoI), Proof of Address (PoA), Proof of Relationship (PoR) and Date of Birth(DoB) document. UIDAI accepts 31 PoI and 44 PoA , 14 PoR and 14 DoB documents. View the nationally valid list of supporting documents."
What are the documents required for enrollment for Aadhaar?,"You need to fill up an application form available at Enrolment centre along with supporting documents which are Proof of Identity (PoI), Proof of Address (PoA), Proof of Relationship (PoR) and Date of Birth(DoB) document. UIDAI accepts 31 PoI and 44 PoA , 14 PoR and 14 DoB documents. View the nationally valid list of supporting documents."
Serve One need to bring original text file for Aadhaar enrolment?,"Yes, you need to bring original copies of supporting documents for Aadhaar enrolment. These original copies will be scanned and handed back to you after the enrolment."
Do Single take to bring original document for Aadhaar enrolment?,"Yes, you need to bring original copies of supporting documents for Aadhaar enrolment. These original copies will be scanned and handed back to you after the enrolment."
Do I need to bring original text file for Aadhaar enrolment?,"Yes, you need to bring original copies of supporting documents for Aadhaar enrolment. These original copies will be scanned and handed back to you after the enrolment."
Coif Atomic number 53 need to bring original documents for Aadhaar enrolment?,"Yes, you need to bring original copies of supporting documents for Aadhaar enrolment. These original copies will be scanned and handed back to you after the enrolment."
Execute Atomic number 53 take to pay any fee for Aadhaar enrolment?,"No, Aadhaar enrolment is totally free of cost therefore you need not pay anything at the enrolment centre."
Do One take to pay any fee for Aadhaar enrolment?,"No, Aadhaar enrolment is totally free of cost therefore you need not pay anything at the enrolment centre."
Do Single take in to pay any fee for Aadhaar enrollment?,"No, Aadhaar enrolment is totally free of cost therefore you need not pay anything at the enrolment centre."
Do 1 have to yield any fee for Aadhaar registration?,"No, Aadhaar enrolment is totally free of cost therefore you need not pay anything at the enrolment centre."
What kind of data point gets captured during Aadhaar Enrolment?,"There are two types of data gets captured for Aadhaar enrolment i.e. Demographic (Name, Gender, DoB, Address, Mobile number and email id) & Bioemtric (10 Finger Prints, Both Iris and photograph). Mobile number and email id are optional."
What kind of data gets capture during Aadhaar Enrolment?,"There are two types of data gets captured for Aadhaar enrolment i.e. Demographic (Name, Gender, DoB, Address, Mobile number and email id) & Bioemtric (10 Finger Prints, Both Iris and photograph). Mobile number and email id are optional."
What kind of data start out captured during Aadhaar Enrolment?,"There are two types of data gets captured for Aadhaar enrolment i.e. Demographic (Name, Gender, DoB, Address, Mobile number and email id) & Bioemtric (10 Finger Prints, Both Iris and photograph). Mobile number and email id are optional."
What kind of data gets catch during Aadhaar Enrolment?,"There are two types of data gets captured for Aadhaar enrolment i.e. Demographic (Name, Gender, DoB, Address, Mobile number and email id) & Bioemtric (10 Finger Prints, Both Iris and photograph). Mobile number and email id are optional."
Be there any on line method of get Enroled for Aadhaar?,"No, you have to personally visit Aadhaar enrolment centre for getting yourself Enroled as your Biometrics will be captured."
Is in that respect any online method acting of fetch Enroled for Aadhaar?,"No, you have to personally visit Aadhaar enrolment centre for getting yourself Enroled as your Biometrics will be captured."
Is there any online method acting of getting Enroled for Aadhaar?,"No, you have to personally visit Aadhaar enrolment centre for getting yourself Enroled as your Biometrics will be captured."
Is there any on line method acting of catch Enroled for Aadhaar?,"No, you have to personally visit Aadhaar enrolment centre for getting yourself Enroled as your Biometrics will be captured."
Backside 1 get myself Enroll for Aadhaar just by send required documents by Post?,"No, you have to personally visit Aadhaar enrolment centre for getting yourself Enroled as your Biometrics will be captured."
Can I get myself Enter for Aadhaar precisely by commit required documents by Mail?,"No, you have to personally visit Aadhaar enrolment centre for getting yourself Enroled as your Biometrics will be captured."
Rear end I get myself Enroled for Aadhaar just by sending required documents by Mail?,"No, you have to personally visit Aadhaar enrolment centre for getting yourself Enroled as your Biometrics will be captured."
Can I experience myself Enroled for Aadhaar just by institutionalise require documents by Office?,"No, you have to personally visit Aadhaar enrolment centre for getting yourself Enroled as your Biometrics will be captured."
What if my demographic detail mentioned on acknowledgment / enrolment slip are non correspond with supporting documents?,You can get your details corrected within 96 hours of your enrolment. 96 hours window starts from the time stamp mentioned on your Enrolment Slip/ Acknowledgement slip.
What if my demographic details mentioned on acknowledgement / registration skid are not match with supporting document?,You can get your details corrected within 96 hours of your enrolment. 96 hours window starts from the time stamp mentioned on your Enrolment Slip/ Acknowledgement slip.
What if my demographic details mention on acknowledgement / enrolment cutting are not rival with supporting documents?,You can get your details corrected within 96 hours of your enrolment. 96 hours window starts from the time stamp mentioned on your Enrolment Slip/ Acknowledgement slip.
What if my demographic details mentioned on recognition / enrollment slip are not mate with support documents?,You can get your details corrected within 96 hours of your enrolment. 96 hours window starts from the time stamp mentioned on your Enrolment Slip/ Acknowledgement slip.
How displace Unity get the details corrected after 96 time of day?,"If you are not able to get your details corrected in 96 hours window, you can get your details updated once your Aadhaar is generated."
How can I incur the details corrected after xcvi hr?,"If you are not able to get your details corrected in 96 hours window, you can get your details updated once your Aadhaar is generated."
How can I get the detail counterbalance after 96 hour?,"If you are not able to get your details corrected in 96 hours window, you can get your details updated once your Aadhaar is generated."
How fanny Ane get the details correct after 96 minute?,"If you are not able to get your details corrected in 96 hours window, you can get your details updated once your Aadhaar is generated."
Send away I get Enroled for Aadhaar if any of my finger or iris is missing?,"Yes, you can enrol for Aadhaar even if any or all fingers / Iris are missing. Aadhaar software has provisions to handle such exceptions."
Hindquarters I get Enroled for Aadhaar if any of my fingers or iris cost miss?,"Yes, you can enrol for Aadhaar even if any or all fingers / Iris are missing. Aadhaar software has provisions to handle such exceptions."
Can Ane get Enroled for Aadhaar if any of my fingers oregon iris is miss?,"Yes, you can enrol for Aadhaar even if any or all fingers / Iris are missing. Aadhaar software has provisions to handle such exceptions."
Can I get Recruit for Aadhaar if any of my fingers or flag is missing?,"Yes, you can enrol for Aadhaar even if any or all fingers / Iris are missing. Aadhaar software has provisions to handle such exceptions."
Is it mandatory to provide roving number or email for Aadhaar registration?,"No, it is not mandatory to provide mobile number or email for Aadhaar enrolment. But it is always recommended to provide mobile number and email so that you get updates regarding your Aadhaar application status."
Is it compulsory to provide roving number or email for Aadhaar enrolment?,"No, it is not mandatory to provide mobile number or email for Aadhaar enrolment. But it is always recommended to provide mobile number and email so that you get updates regarding your Aadhaar application status."
Is it mandatory to provide mobile bit or electronic mail for Aadhaar enrolment?,"No, it is not mandatory to provide mobile number or email for Aadhaar enrolment. But it is always recommended to provide mobile number and email so that you get updates regarding your Aadhaar application status."
Represent it mandatory to provide mobile bit or electronic mail for Aadhaar registration?,"No, it is not mandatory to provide mobile number or email for Aadhaar enrolment. But it is always recommended to provide mobile number and email so that you get updates regarding your Aadhaar application status."
Is there any historic period demarcation line for Aadhaar registration?,"No, there is no age limit defined for Aadhaar Enrolment. Even a new born baby can also get Enroled for Aadhaar."
Is there any geezerhood limit for Aadhaar enrolment?,"No, there is no age limit defined for Aadhaar Enrolment. Even a new born baby can also get Enroled for Aadhaar."
Equal there any eld limit for Aadhaar enrolment?,"No, there is no age limit defined for Aadhaar Enrolment. Even a new born baby can also get Enroled for Aadhaar."
Is there any years limit for Aadhaar enrollment?,"No, there is no age limit defined for Aadhaar Enrolment. Even a new born baby can also get Enroled for Aadhaar."
How much clip information technology takes to get under one's skin my Aadhaar father after the enrolment?,It takes up to 90 days for Aadhaar generation from the date of enrolment.
How much time information technology takes to get my Aadhaar give after the registration?,It takes up to 90 days for Aadhaar generation from the date of enrolment.
How much metre information technology takes to get my Aadhaar render after the enrolment?,It takes up to 90 days for Aadhaar generation from the date of enrolment.
How much time information technology takes to stimulate my Aadhaar generated after the enrolment?,It takes up to 90 days for Aadhaar generation from the date of enrolment.
Can I have my Aadhaar letter downloaded online after it is generated?,"Yes, once your Aadhaar is generated, you can always download e-Aadhaar letter by clicking on Download Aadhaar under Aadhaar Enrolment section on uidai.gov.in website."
Can I get my Aadhaar letter downloaded online after information technology be yield?,"Yes, once your Aadhaar is generated, you can always download e-Aadhaar letter by clicking on Download Aadhaar under Aadhaar Enrolment section on uidai.gov.in website."
Can I stupefy my Aadhaar letter downloaded online after it is get?,"Yes, once your Aadhaar is generated, you can always download e-Aadhaar letter by clicking on Download Aadhaar under Aadhaar Enrolment section on uidai.gov.in website."
Can I make my Aadhaar letter of the alphabet downloaded online after it is generated?,"Yes, once your Aadhaar is generated, you can always download e-Aadhaar letter by clicking on Download Aadhaar under Aadhaar Enrolment section on uidai.gov.in website."
Does the online downloaded Aadhaar letter have like hardiness as that of original?,"Yes, online downloaded e-Aadhaar letter has the same validity as that of original."
Coif the online download Aadhaar letter have like validity as that of original?,"Yes, online downloaded e-Aadhaar letter has the same validity as that of original."
Does the online downloaded Aadhaar missive have like cogency as that of original?,"Yes, online downloaded e-Aadhaar letter has the same validity as that of original."
Make the online downloaded Aadhaar letter make like validity as that of original?,"Yes, online downloaded e-Aadhaar letter has the same validity as that of original."
"I have lose my Enrolment gem state slip / Aadhaar letter, is in that location any way of come up the same?","Yes, In case your mobile number is registered in Aadhaar, you can find your Enrolment number (EID) or Aadhaar (UID) by clicking on Retrieve Lost UID/EID tab under Section Aadhaar enrolment on uidai.gov.in website or https://resident.uidai.gov.in/lost-uideid. Select EID/UID you want to retrieve and then enter your name and mobile number (as registered during Aadhaar enrolment). You will receive your EID/ Aadhaar number delivered on your email/ mobile number. In case your mobile number is not registered in Aadhaar, you have to visit nearest Permanent Aadhaar Enrolment centre."
"I have lose my Enrolment i.d. trip / Aadhaar letter, is at that place any way of finding the like?","Yes, In case your mobile number is registered in Aadhaar, you can find your Enrolment number (EID) or Aadhaar (UID) by clicking on Retrieve Lost UID/EID tab under Section Aadhaar enrolment on uidai.gov.in website or https://resident.uidai.gov.in/lost-uideid. Select EID/UID you want to retrieve and then enter your name and mobile number (as registered during Aadhaar enrolment). You will receive your EID/ Aadhaar number delivered on your email/ mobile number. In case your mobile number is not registered in Aadhaar, you have to visit nearest Permanent Aadhaar Enrolment centre."
"1 have lose my Enrolment ID slip / Aadhaar letter, be on that point any way of finding the like?","Yes, In case your mobile number is registered in Aadhaar, you can find your Enrolment number (EID) or Aadhaar (UID) by clicking on Retrieve Lost UID/EID tab under Section Aadhaar enrolment on uidai.gov.in website or https://resident.uidai.gov.in/lost-uideid. Select EID/UID you want to retrieve and then enter your name and mobile number (as registered during Aadhaar enrolment). You will receive your EID/ Aadhaar number delivered on your email/ mobile number. In case your mobile number is not registered in Aadhaar, you have to visit nearest Permanent Aadhaar Enrolment centre."
"One make lose my Enrolment ID slip / Aadhaar letter, is thither any way of bump the same?","Yes, In case your mobile number is registered in Aadhaar, you can find your Enrolment number (EID) or Aadhaar (UID) by clicking on Retrieve Lost UID/EID tab under Section Aadhaar enrolment on uidai.gov.in website or https://resident.uidai.gov.in/lost-uideid. Select EID/UID you want to retrieve and then enter your name and mobile number (as registered during Aadhaar enrolment). You will receive your EID/ Aadhaar number delivered on your email/ mobile number. In case your mobile number is not registered in Aadhaar, you have to visit nearest Permanent Aadhaar Enrolment centre."
I have Inscribe for Aadhaar multiple time merely have not received my Aadhaar letter. What should I practice in this suit?,"There are chances that your Aadhaar has been generated but you have not received Aadhaar letter by post. In this case, it is recommended to get your Aadhaar status checked, for all your EIDs, by clicking on Check Aadhaar Status or https://resident.uidai.gov.in/check-aadhaar or by visiting nearest Permanent Aadhaar Enrolment centre."
I give birth Enroled for Aadhaar multiple times but have non received my Aadhaar letter of the alphabet. What should I do in this case?,"There are chances that your Aadhaar has been generated but you have not received Aadhaar letter by post. In this case, it is recommended to get your Aadhaar status checked, for all your EIDs, by clicking on Check Aadhaar Status or https://resident.uidai.gov.in/check-aadhaar or by visiting nearest Permanent Aadhaar Enrolment centre."
I have Enrol for Aadhaar multiple time but have not received my Aadhaar letter. What should Ane do in this case?,"There are chances that your Aadhaar has been generated but you have not received Aadhaar letter by post. In this case, it is recommended to get your Aadhaar status checked, for all your EIDs, by clicking on Check Aadhaar Status or https://resident.uidai.gov.in/check-aadhaar or by visiting nearest Permanent Aadhaar Enrolment centre."
I have Enroll for Aadhaar multiple times only have non receive my Aadhaar letter. What should I do in this case?,"There are chances that your Aadhaar has been generated but you have not received Aadhaar letter by post. In this case, it is recommended to get your Aadhaar status checked, for all your EIDs, by clicking on Check Aadhaar Status or https://resident.uidai.gov.in/check-aadhaar or by visiting nearest Permanent Aadhaar Enrolment centre."
"I have received samarium on my mobile river that my Aadhaar be rejected, what should I do?","Aadhaar generation involves various quality checks therefore there are chances that your Aadhaar gets rejected due to quality or any other technical reason. So if you have received SMS that your Aadhaar has been rejected, it is recommended to re-enrol yourself."
"Single have received ms on my mobile river that my Aadhaar is rejected, what should 1 do?","Aadhaar generation involves various quality checks therefore there are chances that your Aadhaar gets rejected due to quality or any other technical reason. So if you have received SMS that your Aadhaar has been rejected, it is recommended to re-enrol yourself."
"I have receive SMS on my mobile that my Aadhaar is reject, what should One do?","Aadhaar generation involves various quality checks therefore there are chances that your Aadhaar gets rejected due to quality or any other technical reason. So if you have received SMS that your Aadhaar has been rejected, it is recommended to re-enrol yourself."
"Ace have received samarium on my mobile that my Aadhaar be pass up, what should Atomic number 53 do?","Aadhaar generation involves various quality checks therefore there are chances that your Aadhaar gets rejected due to quality or any other technical reason. So if you have received SMS that your Aadhaar has been rejected, it is recommended to re-enrol yourself."
"Single dont have need documents for enrolment of Aadhaar, hindquarters I still enter?","Yes, even if someone in a family does not have required documents, the resident can still enrol if his/her name exists in family entitlement document. In this case the Head of Family in entitlement document needs to be Enroled first with valid PoI & PoA document and then other family members can enrol based on EID/Aadhaar number of head of family. UIDAI accepts 8 document types as Proof of Relationship (PoR). View the list of supporting documents."
"I dont have postulate documents for enrolment of Aadhaar, ass Iodin still enroll?","Yes, even if someone in a family does not have required documents, the resident can still enrol if his/her name exists in family entitlement document. In this case the Head of Family in entitlement document needs to be Enroled first with valid PoI & PoA document and then other family members can enrol based on EID/Aadhaar number of head of family. UIDAI accepts 8 document types as Proof of Relationship (PoR). View the list of supporting documents."
"I dont have want documents for enrolment of Aadhaar, can Ace still enroll?","Yes, even if someone in a family does not have required documents, the resident can still enrol if his/her name exists in family entitlement document. In this case the Head of Family in entitlement document needs to be Enroled first with valid PoI & PoA document and then other family members can enrol based on EID/Aadhaar number of head of family. UIDAI accepts 8 document types as Proof of Relationship (PoR). View the list of supporting documents."
"I dont have required documents for enrollment of Aadhaar, can Ace however inscribe?","Yes, even if someone in a family does not have required documents, the resident can still enrol if his/her name exists in family entitlement document. In this case the Head of Family in entitlement document needs to be Enroled first with valid PoI & PoA document and then other family members can enrol based on EID/Aadhaar number of head of family. UIDAI accepts 8 document types as Proof of Relationship (PoR). View the list of supporting documents."
What be Residents responsibilities in ensuring that his / her enrolment does non bring forth rejected?,"Resident must review his/her details in English as well as in local language by looking at the resident screen available in front of him/her. Ensure that Name, Gender, DoB, Address etc. are correct. Also to ensure that no titles/ salutations like Mr./ Mrs./ Col./ Dr. etc. are prefixed or suffixed to the name. It is recommended to provide full name instead of initials for e.g. B.K Sharma should be written as Brij Kumar Sharma. Review that photograph captured by the operator is correct and recognizable."
What are Residents responsibilities in ensuring that his / her enrolment does not grow reject?,"Resident must review his/her details in English as well as in local language by looking at the resident screen available in front of him/her. Ensure that Name, Gender, DoB, Address etc. are correct. Also to ensure that no titles/ salutations like Mr./ Mrs./ Col./ Dr. etc. are prefixed or suffixed to the name. It is recommended to provide full name instead of initials for e.g. B.K Sharma should be written as Brij Kumar Sharma. Review that photograph captured by the operator is correct and recognizable."
What be Residents obligation in insure that his / her enrolment do not get rejected?,"Resident must review his/her details in English as well as in local language by looking at the resident screen available in front of him/her. Ensure that Name, Gender, DoB, Address etc. are correct. Also to ensure that no titles/ salutations like Mr./ Mrs./ Col./ Dr. etc. are prefixed or suffixed to the name. It is recommended to provide full name instead of initials for e.g. B.K Sharma should be written as Brij Kumar Sharma. Review that photograph captured by the operator is correct and recognizable."
What are Residents responsibilities in see to it that his / her enrolment does not buzz off reject?,"Resident must review his/her details in English as well as in local language by looking at the resident screen available in front of him/her. Ensure that Name, Gender, DoB, Address etc. are correct. Also to ensure that no titles/ salutations like Mr./ Mrs./ Col./ Dr. etc. are prefixed or suffixed to the name. It is recommended to provide full name instead of initials for e.g. B.K Sharma should be written as Brij Kumar Sharma. Review that photograph captured by the operator is correct and recognizable."
Whether the Ration circuit board NEREGA Card etc can be accept as Valid Proof of Indistinguishability / Address for the family members listed in the document in case they do not experience freestanding PoI or genus poa document?,Yes. The family entitlement documents is accepted as proof of Identity/Address for family enrolments as long as the head of the family whose photograph appears on the documents presents and verifies the identity and address of the family members and the Registrar authorized verifier countersigns the copy of the document as proof of acknowledgement.
Whether the Ration carte NEREGA Lineup etc can be accepted as Valid Proof of Identity / Address for the family members list in the document in case they execute not induce separate PoI or genus poa written document?,Yes. The family entitlement documents is accepted as proof of Identity/Address for family enrolments as long as the head of the family whose photograph appears on the documents presents and verifies the identity and address of the family members and the Registrar authorized verifier countersigns the copy of the document as proof of acknowledgement.
Whether the Ration posting NEREGA Card etc can be accepted as Valid Cogent evidence of Identity / Reference for the family members heel in the text file in case they do non hold separate PoI or PoA document?,Yes. The family entitlement documents is accepted as proof of Identity/Address for family enrolments as long as the head of the family whose photograph appears on the documents presents and verifies the identity and address of the family members and the Registrar authorized verifier countersigns the copy of the document as proof of acknowledgement.
Whether the Ration card NEREGA Card etc can be accepted as Valid Proof of Identity operator / Address for the family line members list in the written document in case they make not get separate PoI or PoA document?,Yes. The family entitlement documents is accepted as proof of Identity/Address for family enrolments as long as the head of the family whose photograph appears on the documents presents and verifies the identity and address of the family members and the Registrar authorized verifier countersigns the copy of the document as proof of acknowledgement.
Whether UIDAI experience specify process to personify followed for Family enrolments?,"Yes. Head of the Family should invariably bring the original POI/POA for verification and only those family members can be Enroled based on the family entitlement document, whose names & other details are recorded on it. For family enrolments it is desirable that the family should come together for enrolment as far as possible. In case all the members cannot make it on the same day then the head of family should invariably accompany the family member whenever he/she comes for the enrolment."
Whether UIDAI has defined process to cost follow for Family registration?,"Yes. Head of the Family should invariably bring the original POI/POA for verification and only those family members can be Enroled based on the family entitlement document, whose names & other details are recorded on it. For family enrolments it is desirable that the family should come together for enrolment as far as possible. In case all the members cannot make it on the same day then the head of family should invariably accompany the family member whenever he/she comes for the enrolment."
Whether UIDAI has defined process to be followed for House enrollment?,"Yes. Head of the Family should invariably bring the original POI/POA for verification and only those family members can be Enroled based on the family entitlement document, whose names & other details are recorded on it. For family enrolments it is desirable that the family should come together for enrolment as far as possible. In case all the members cannot make it on the same day then the head of family should invariably accompany the family member whenever he/she comes for the enrolment."
Whether UIDAI take in specify procedure to comprise followed for Family enrolments?,"Yes. Head of the Family should invariably bring the original POI/POA for verification and only those family members can be Enroled based on the family entitlement document, whose names & other details are recorded on it. For family enrolments it is desirable that the family should come together for enrolment as far as possible. In case all the members cannot make it on the same day then the head of family should invariably accompany the family member whenever he/she comes for the enrolment."
What is the option if the savoir faire indicated on the genus poa document appear to be short for postal delivery? Fanny additional information from the residents constitute accepted?,"Yes. The resident may be allowed to add minor fields such as House No., Lane No., Street Name, correcting typographic errors, minor changes/ corrections to pin code etc. to the address listed in the PoA document as long as these additions/modifications do not alter the base address mentioned in the PoA document. If the changes requested are substantial and change the base address that is listed in the PoA, the resident will require to provide an alternate PoA or enrol through an Introducer."
What be the choice if the reference indicated on the PoA document appears to follow inadequate for postal delivery? Can additional info from the resident be accepted?,"Yes. The resident may be allowed to add minor fields such as House No., Lane No., Street Name, correcting typographic errors, minor changes/ corrections to pin code etc. to the address listed in the PoA document as long as these additions/modifications do not alter the base address mentioned in the PoA document. If the changes requested are substantial and change the base address that is listed in the PoA, the resident will require to provide an alternate PoA or enrol through an Introducer."
What live the choice if the address indicated on the PoA text file appears to be inadequate for postal delivery? Can additional info from the occupier live accepted?,"Yes. The resident may be allowed to add minor fields such as House No., Lane No., Street Name, correcting typographic errors, minor changes/ corrections to pin code etc. to the address listed in the PoA document as long as these additions/modifications do not alter the base address mentioned in the PoA document. If the changes requested are substantial and change the base address that is listed in the PoA, the resident will require to provide an alternate PoA or enrol through an Introducer."
What follow the selection if the address indicated on the genus poa document appears to comprise inadequate for postal saving? Can extra information from the house physician be accepted?,"Yes. The resident may be allowed to add minor fields such as House No., Lane No., Street Name, correcting typographic errors, minor changes/ corrections to pin code etc. to the address listed in the PoA document as long as these additions/modifications do not alter the base address mentioned in the PoA document. If the changes requested are substantial and change the base address that is listed in the PoA, the resident will require to provide an alternate PoA or enrol through an Introducer."
